DATA;SALDO INICIAL;ENTRADAS;RENTABILIDADE;REPASSE;TOTAL REPASSE;SALDO FINAL
31/08/2023;0.01;2626680914.91;17796522.52;0.01;0,01;2.644.477.437,42
30/09/2023;2644477437.42;464797287.30;28520810.37;0.00;0,01;3.137.795.535,09
31/10/2023;3137795535.09;0.00;30949508.13;0.00;0,01;3.168.745.043,22
30/11/2023;3168745043.22;0.00;28913228.24;0.00;0,01;3.197.658.271,46
30/12/2023;3197658271.46;0.00;28523316.16;29803956.48;29803956,49;3.196.377.631,14
31/01/2024;3196377631.14;91310.40;30721100.85;0.00;29803956,49;3.227.190.042,39
29/02/2024;3227190042.39;0.00;25760612.56;0.00;29803956,49;3.252.950.654,95
31/03/2024;3252950654.95;0.00;27154003.57;0.00;29803956,49;3.280.104.658,52
30/04/2024;3280104658.52;0.00;28897340.60;0.00;29803956,49;3.309.001.999,12
31/05/2024;3309001999.12;0.00;26845692.80;150000000.00;179803956,5;3.185.847.691,92
30/06/2024;3185847691.92;0.00;24927633.31;1416761.90;181220718,4;3.209.358.563,33
31/07/2024;3209358563.33;0.00;29587038.46;2064143.81;183284862,2;3.236.881.457,98
31/08/2024;3236881457.98;0.00;28159588.29;2297210.67;185582072,9;3.262.743.835,60
30/09/2024;3262743835.60;0.00;27215081.45;2436430.84;188018503,7;3.287.522.486,21
31/10/2024;3287522486.21;0.00;30798919.11;8946013.11;196964516,8;3.309.375.392,21
30/11/2024;3309375392.21;0.00;28454144.33;3821769.29;200786286,1;3.334.007.767,25
31/12/2024;3334007767.25;0.00;30770847.59;18907958.39;219694244,5;3.345.870.656,45
31/01/2025;3345870656.45;0.00;33921819.73;8615964.78;228310209,3;3.371.176.511,40
28/02/2025;3371176511.40;0.00;33024877.06;50217960.39;278528169,7;3.353.983.428,07
31/03/2025;3353983428.08;0.00;32122766.63;52518455.66;331046625,3;3.333.587.739,05
30/04/2025;3333587739.05;0.00;34030544.45;69885251.81;400931877,1;3.297.733.031,69
31/05/2025;3297733031.69;0.00;37593061.31;126007699.2;526939576,3;3.209.318.393,80
30/06/2025;3209318393.8;0.00;34461176.99;51353182.2;578292758,5;3.192.426.388,59
31/07/2025;3,192,426,388.59;0.00;40769367,54;54506470,42;632799229;3.178.689.285,71
31/08/2025;3,178,689,285.71;0.00;36904801,92;44523474,62;677322703,6;3.171.070.613,01
